Participant_ID,Timestamp,AnimationType,Angle
1,"2024-07-22 17:07:02,235",7,70.49387238782225
1,"2024-07-22 17:07:25,407",ok,68.17988200829588
1,"2024-07-22 17:07:50,674",handover text,53.17452044948078
1,"2024-07-22 17:14:36,026",fire,67.30156831882286
1,"2024-07-22 17:15:03,531",start handover,72.82455898108503
1,"2024-07-22 17:15:39,270",validate handover,77.31315572937541
1,"2024-07-22 17:16:18,783",survivor,77.52774783784125
1,"2024-07-22 17:16:51,093",hazardous materials,75.75591208141047
1,"2024-07-22 17:17:26,643",mapping,84.63756413204342
2,"2024-07-22 10:42:03,249",9,57.26808207716672
2,"2024-07-22 10:42:35,057",ok,65.23292794905905
2,"2024-07-22 10:43:07,359",handover text,52.30754468074739
2,"2024-07-22 10:45:05,688",validate handover,69.8859272919702
2,"2024-07-22 10:45:40,545",survivor,82.00101667602573
2,"2024-07-22 10:46:18,618",fire,63.4884581891381
2,"2024-07-22 10:46:43,308",hazardous materials,77.54675215142161
2,"2024-07-22 10:47:28,645",start handover,69.98360497333378
2,"2024-07-22 10:47:55,649",mapping,76.48688990962327
3,"2024-07-22 11:27:20,844",6,75.32471362016737
3,"2024-07-22 11:27:42,048",ok,72.775136272965
3,"2024-07-22 11:28:05,051",handover text,58.17055150005231
3,"2024-07-22 11:30:03,480",hazardous materials,78.37665865581931
3,"2024-07-22 11:31:03,580",fire,82.09480034574557
3,"2024-07-22 11:32:01,207",start handover,73.20830966098681
3,"2024-07-22 11:32:19,065",validate handover,76.00327093622936
3,"2024-07-22 11:32:47,133",survivor,73.12677904038863
3,"2024-07-22 11:33:08,813",mapping,87.18081153530662
4,"2024-07-22 13:54:59,778",5,73.68550622931123
4,"2024-07-22 13:55:24,206",ok,64.36160032807257
4,"2024-07-22 13:55:52,883",handover text,53.920556748993974
4,"2024-07-22 13:58:01,835",start handover,65.4531508924222
4,"2024-07-22 13:58:32,804",fire,66.85462449877701
4,"2024-07-22 13:59:45,216",validate handover,72.08595466472576
4,"2024-07-22 14:00:48,891",hazardous materials,70.86372699417116
4,"2024-07-22 14:01:28,383",hazardous materials,76.70284377255638
4,"2024-07-22 14:01:56,835",mapping,71.5281677880237
5,"2024-07-22 14:32:06,052",5,76.14407302683257
5,"2024-07-22 14:32:24,104",ok,73.88239468657471
5,"2024-07-22 14:32:47,508",handover text,63.58246707523165
5,"2024-07-22 14:35:24,997",hazardous materials,74.82089185251607
5,"2024-07-22 14:36:05,383",validate handover,78.8327523220855
5,"2024-07-22 14:36:34,556",start handover,82.47782784691722
5,"2024-07-22 14:37:13,321",survivor,77.34539771232153
5,"2024-07-22 14:38:21,849",mapping,81.31264507930996
5,"2024-07-22 14:39:36,636",fire,75.6059336383872
6,"2024-07-22 16:08:14,466",8,65.71743529393653
6,"2024-07-22 16:08:46,599",ok,63.99679804894031
6,"2024-07-22 16:09:11,382",handover text,64.8288751249736
6,"2024-07-22 16:15:37,066",fire,67.83296967056161
6,"2024-07-22 16:16:13,877",hazardous materials,74.18866824178494
6,"2024-07-22 16:17:03,518",start handover,68.34839979215151
6,"2024-07-22 16:17:46,049",mapping,74.99752357712232
6,"2024-07-22 16:18:11,362",survivor,75.46359141308483
6,"2024-07-22 16:18:44,061",validate handover,73.04154013299471
7,"2024-07-23 13:59:06,541",3,73.80082271668839
7,"2024-07-23 13:59:29,070",ok,70.39460997239578
7,"2024-07-23 14:00:33,122",handover text,62.26775842647898
7,"2024-07-23 14:04:51,251",validate handover,74.62523969212438
7,"2024-07-23 14:05:34,694",survivor,73.3470580502615
7,"2024-07-23 14:06:22,037",fire,72.65190682610395
7,"2024-07-23 14:06:45,987",mapping,79.45954423520276
7,"2024-07-23 14:07:38,835",hazardous materials,75.37406914659184
7,"2024-07-23 14:08:30,421",start handover,73.96344853662555
8,"2024-07-23 15:07:21,722",6,66.77967425918516
8,"2024-07-23 15:08:22,880",ok,44.69795943027441
8,"2024-07-23 15:08:59,957",handover text,43.95227410112098
8,"2024-07-23 15:11:18,990",start handover,67.63429350088302
8,"2024-07-23 15:12:14,836",hazardous materials,73.28028105193101
8,"2024-07-23 15:13:00,219",validate handover,75.30007776930742
8,"2024-07-23 15:14:01,741",fire,72.62640401469919
8,"2024-07-23 15:14:56,586",mapping,73.7327775810996
8,"2024-07-23 15:15:40,943",survivor,72.97653902322931
9,"2024-07-23 15:51:17,399",7,68.83810841905125
9,"2024-07-23 15:51:44,847",ok,68.76071301782027
9,"2024-07-23 15:52:07,713",handover text,52.86501531694299
9,"2024-07-23 15:54:07,455",fire,64.09149161553415
9,"2024-07-23 15:55:00,868",survivor,66.77837345269415
9,"2024-07-23 15:55:36,989",hazardous materials,72.38942620122577
9,"2024-07-23 15:56:27,505",start handover,73.47342732802767
9,"2024-07-23 15:57:09,584",mapping,76.87297258638633
9,"2024-07-23 15:57:49,964",validate handover,64.94766789281691
10,"2024-07-23 17:58:23,090",3,78.1325439812216
10,"2024-07-23 17:58:49,721",ok,74.0676991231831
10,"2024-07-23 17:59:14,144",handover text,64.63567906251807
10,"2024-07-23 18:01:03,457",survivor,74.8341342220479
10,"2024-07-23 18:02:35,476",hazardous materials,88.32950481384319
10,"2024-07-23 18:03:42,649",mapping,86.81892846404035
10,"2024-07-23 18:05:37,082",fire,75.1109765046925
11,"2024-07-23 19:07:48,770",2,75.55717900410686
11,"2024-07-23 19:08:19,409",ok,64.98978012322871
11,"2024-07-23 19:08:58,239",handover text,72.10990955629642
11,"2024-07-23 19:24:00,973",mapping,80.03884241687268
11,"2024-07-23 19:25:18,965",hazardous materials,71.17655497858475
11,"2024-07-23 19:26:10,209",survivor,82.05738281502035
11,"2024-07-23 19:27:01,955",fire,78.95356074420962
11,"2024-07-23 19:27:32,732",validate handover,84.2681985581805
11,"2024-07-23 19:28:04,526",start handover,78.24234008146014
12,"2024-07-24 11:16:33,313",1,74.3758527425884
12,"2024-07-24 11:17:02,228",ok,61.23934047014923
12,"2024-07-24 11:17:42,055",handover text,58.23150950578522
12,"2024-07-24 11:20:04,655",start handover,66.6266915328366
12,"2024-07-24 11:20:36,761",survivor,72.44764652038967
12,"2024-07-24 11:21:12,574",validate handover,72.66301051100967
12,"2024-07-24 11:21:58,472",fire,76.85304777020322
12,"2024-07-24 11:22:42,671",hazardous materials,64.19588776920872
12,"2024-07-24 11:28:16,615",mapping,74.21766337621914
