Participant_ID,Timestamp,AnimationType,Angle
1,"2024-07-22 16:55:07,095",3,72.03573572068821
1,"2024-07-22 16:55:34,666",Z,63.53620074755183
1,"2024-07-22 16:56:41,746",heliocpter text,53.484406764640866
1,"2024-07-22 16:58:49,406",survivor,68.60576831695869
1,"2024-07-22 16:59:29,478",hazardous materials,71.51301769786511
1,"2024-07-22 17:00:30,481",start handover,68.91584346614147
1,"2024-07-22 17:01:34,427",fire,52.105052334401734
1,"2024-07-22 17:02:30,978",mapping,68.5886693829291
1,"2024-07-22 17:03:24,245",validate handover,67.02637724202592
2,"2024-07-22 10:28:58,973",1,32.167051279683655
2,"2024-07-22 10:30:44,118",heliocpter text,51.92279853617902
2,"2024-07-22 10:33:16,671",survivor,62.46269537746449
2,"2024-07-22 10:34:53,959",hazardous materials,53.81620881619952
2,"2024-07-22 10:35:55,609",validate handover,62.13077827337247
2,"2024-07-22 10:36:44,832",mapping,42.8441625713398
2,"2024-07-22 10:37:26,645",fire,63.6360507737388
2,"2024-07-22 10:37:48,472",start handover,53.492459196351604
3,"2024-07-22 11:15:54,964",5,65.71353779014802
3,"2024-07-22 11:16:32,148",C,72.5650716042818
3,"2024-07-22 11:16:51,068",heliocpter text,63.1356806758977
3,"2024-07-22 11:18:47,507",fire,66.43976674754394
3,"2024-07-22 11:19:32,472",hazardous materials,61.886234266136256
3,"2024-07-22 11:20:25,851",start handover,64.6418576393994
3,"2024-07-22 11:21:49,095",mapping,70.448033208781
3,"2024-07-22 11:22:56,185",validate handover,67.01440829938134
4,"2024-07-22 13:44:20,151",4,63.93780357475746
4,"2024-07-22 13:44:46,158",S,73.06166229161981
4,"2024-07-22 13:45:27,190",heliocpter text,62.42189065234996
4,"2024-07-22 13:47:17,986",survivor,63.87095665338457
4,"2024-07-22 13:47:58,299",hazardous materials,65.99318460004254
4,"2024-07-22 13:48:53,166",validate handover,72.77608206519825
4,"2024-07-22 13:49:52,501",mapping,62.6016815622817
4,"2024-07-22 13:50:40,578",start handover,65.15514247873446
4,"2024-07-22 13:51:14,722",fire,67.44953776740579
5,"2024-07-22 14:22:31,194",7,75.4038524103341
5,"2024-07-22 14:22:48,265",C,74.82808616577627
5,"2024-07-22 14:23:45,830",heliocpter text,53.169396524441765
5,"2024-07-22 14:25:56,142",survivor,74.13880291683915
5,"2024-07-22 14:26:22,937",fire,68.65078708237766
5,"2024-07-22 14:27:13,262",mapping,75.0363776535207
5,"2024-07-22 14:28:14,283",validate handover,75.86602824056256
5,"2024-07-22 14:28:50,258",hazardous materials,75.9676971039701
5,"2024-07-22 14:29:36,443",start handover,73.43233462433093
6,"2024-07-22 15:47:31,815",6,75.13506919791062
6,"2024-07-22 15:47:59,693",K,70.78588607154377
6,"2024-07-22 15:48:22,880",heliocpter text,73.25735086969691
6,"2024-07-22 15:57:34,877",mapping,66.31253509011573
6,"2024-07-22 15:58:40,822",fire,72.73781028764049
6,"2024-07-22 15:59:50,394",hazardous materials,72.33962914187659
6,"2024-07-22 16:00:57,908",hazardous materials,63.212037984575154
6,"2024-07-22 16:01:50,289",validate handover,72.4206905341558
6,"2024-07-22 16:02:35,055",validate handover,72.72380946529773
7,"2024-07-23 13:46:32,244",1,73.39438744474172
7,"2024-07-23 13:47:17,091",H,65.05767527161322
7,"2024-07-23 13:48:12,439",heliocpter text,51.66571715216677
7,"2024-07-23 13:50:19,378",mapping,60.84116398338044
7,"2024-07-23 13:51:12,787",survivor,65.33880176005535
7,"2024-07-23 13:52:22,321",start handover,63.54579089742479
7,"2024-07-23 13:53:17,872",fire,63.74826987797688
7,"2024-07-23 13:53:52,997",hazardous materials,79.88050993953344
7,"2024-07-23 13:55:03,031",validate handover,66.50765336775251
8,"2024-07-23 14:52:26,611",6,31.995166486631447
8,"2024-07-23 14:53:00,688",Y,65.97946555961174
8,"2024-07-23 14:53:50,832",heliocpter text,42.735341663008974
8,"2024-07-23 14:55:57,871",mapping,66.35977763515245
8,"2024-07-23 14:56:49,213",hazardous materials,55.28265857516344
8,"2024-07-23 14:57:53,333",survivor,70.13384901669406
8,"2024-07-23 14:58:40,190",start handover,52.04246303323106
8,"2024-07-23 14:59:47,517",validate handover,65.83754161385829
8,"2024-07-23 15:00:33,664",fire,55.85625536944144
9,"2024-07-23 15:36:38,959",7,69.36194167290242
9,"2024-07-23 15:37:07,413",T,73.00379404722301
9,"2024-07-23 15:37:38,907",heliocpter text,52.300197283033306
9,"2024-07-23 15:42:00,778",start handover,62.42879555478609
9,"2024-07-23 15:42:36,983",fire,72.59059868641997
9,"2024-07-23 15:43:48,564",mapping,72.145781815373
9,"2024-07-23 15:44:37,369",survivor,73.40074732885225
9,"2024-07-23 15:45:46,180",hazardous materials,74.48362692464777
9,"2024-07-23 15:46:52,023",validate handover,72.08085951001642
10,"2024-07-23 17:47:13,795",2,75.96896191483995
10,"2024-07-23 17:48:49,762",heliocpter text,65.24222629670902
10,"2024-07-23 17:50:59,551",validate handover,67.19161860480044
10,"2024-07-23 17:51:37,764",mapping,66.96079495148804
10,"2024-07-23 17:52:27,903",survivor,74.11308565874815
10,"2024-07-23 17:53:04,287",fire,75.85782047924984
